Timestamp,Steps,PAM Score,tabel
2025-06-04 14:00:00,7,1.5625,1
2025-06-04 14:01:00,9,0.5625,1
2025-06-04 14:04:00,42,5.375,0
2025-06-04 14:05:00,49,4.0625,0
2025-06-04 14:06:00,66,4.8125,0
2025-06-04 14:07:00,41,5.625,0
2025-06-04 14:08:00,9,0.75,1
2025-06-04 14:09:00,12,0.75,1
2025-06-04 14:10:00,56,2.0,2
2025-06-04 14:11:00,77,2.8125,0
2025-06-04 14:12:00,105,3.6875,0
2025-06-04 14:13:00,111,4.0625,0
2025-06-04 14:14:00,97,4.5,0
2025-06-04 14:15:00,61,2.6875,2
2025-06-04 14:16:00,2,0.4375,1
2025-06-04 14:17:00,0,0.25,1
2025-06-04 14:18:00,0,0.0625,1
2025-06-04 14:19:00,18,1.0625,2
2025-06-04 14:20:00,0,0.0625,1
2025-06-04 14:21:00,0,0.125,1
2025-06-04 14:22:00,0,0.1875,1
2025-06-04 14:23:00,0,0.25,1
2025-06-04 14:24:00,0,0.0,1
2025-06-04 14:25:00,0,0.0625,1
2025-06-04 14:26:00,0,0.0,1
2025-06-04 14:27:00,0,0.3125,1
2025-06-04 14:28:00,0,0.0625,1
2025-06-04 14:29:00,0,0.125,1
2025-06-04 14:30:00,0,0.0625,1
2025-06-04 14:31:00,0,0.0625,1
2025-06-04 14:32:00,70,2.375,2
2025-06-04 14:33:00,99,3.875,0
2025-06-04 14:34:00,92,3.75,0
2025-06-04 14:35:00,28,1.5,2
2025-06-04 14:36:00,20,1.375,2
2025-06-04 14:37:00,2,0.25,1
2025-06-04 14:38:00,0,0.0,1
2025-06-04 14:39:00,0,0.0,1
2025-06-04 14:40:00,0,0.0,1
2025-06-04 14:41:00,0,0.0,1
2025-06-04 16:34:00,0,0.0,1
2025-06-04 16:35:00,6,0.875,1
2025-06-04 16:36:00,0,0.4375,1
2025-06-04 16:37:00,0,0.5,1
2025-06-04 16:38:00,0,0.4375,1
2025-06-04 16:39:00,0,0.5,1
2025-06-05 10:32:00,0,0.3125,1
2025-06-05 10:33:00,2,0.5625,1
2025-06-05 10:34:00,7,0.6875,1
2025-06-05 10:35:00,14,0.875,1
2025-06-05 10:36:00,88,3.0,0
2025-06-05 10:37:00,101,3.9375,0
2025-06-05 10:38:00,56,1.9375,2
2025-06-05 10:39:00,37,1.8125,2
2025-06-05 10:40:00,1,0.25,1
2025-06-05 10:41:00,10,0.6875,1
2025-06-05 10:42:00,0,0.0625,1
2025-06-05 10:43:00,0,0.375,1
2025-06-05 10:44:00,0,0.0,1
2025-06-05 10:45:00,0,0.0625,1
2025-06-05 10:46:00,0,0.125,1
2025-06-05 10:47:00,0,0.3125,1
